Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Total Deal Amount,Total Deal Equity,Namita Investment Amount,Namita Investment Equity,Anupam Investment Amount,Anupam Investment Equity,Vineeta Investment Amount,Vineeta Investment Equity,Aman Investment Amount,Aman Investment Equity,Peyush Investment Amount,Peyush Investment Equity,Amit Investment Amount,Amit Investment Equity
2,1,Entrepreneurship Ki Leher Ek Baar Firse,153,Hoovu,Services,Fresh Pooja flowers,100,2,,,,,,,50,1,50,1,,
2,1,Entrepreneurship Ki Leher Ek Baar Firse,154,Dorji,Food,Flavors of Tea,30,15,,,10,5,10,5,,,10,5,,
2,1,Entrepreneurship Ki Leher Ek Baar Firse,155,Recode,Beauty/Fashion,Beauty & cosmetics,,,,,,,,,,,,,,
2,2,A Bigger Vision,156,VeryMuchIndian,Beauty/Fashion,Paithani Handloom Sarees,50,10,25,5,,,,,25,5,,,,
2,2,A Bigger Vision,157,WatchoutWearables,Electronics,Smart watches,100,10,,,50,5,50,5,,,,,,
2,2,A Bigger Vision,158,SoupX,Food,Soup based meals,50,18,,,,,50,18,,,,,,
2,3,Thrilling and Thunderous Pitches,159,ATMOSPHERE,Food,Varieties of kombucha,,,,,,,,,,,,,,
2,3,Thrilling and Thunderous Pitches,160,Stage,Entertainment,Web series and movies in Indian languages,150,0.6,50,0.2,,,,,50,0.2,50,0.2,,
2,3,Thrilling and Thunderous Pitches,161,Girgit,Beauty/Fashion,color-changing clothing products ,20,20,20,20,,,,,,,,,,
2,4,Ideas Meets Opportunity,162,GearHeadMotors,Electrical Vehicles,Electric vehicles bikes,100,6.67,,,,,,,50,3.335,50,3.335,,
2,4,Ideas Meets Opportunity,163,PatilKaki,Food,Homemade snacks,40,4,,,20,2,,,,,20,2,,
2,4,Ideas Meets Opportunity,164,Brandsdaddy,Manufacturing,Auto Fire Extinguisher,35,5,35,5,,,,,,,,,,
2,5,Investing in the Future of India,165,Winston,Beauty/Fashion,Techno beauty products at home,100,10,,,50,5,50,5,,,,,,
2,5,Investing in the Future of India,166,Flatheads,Beauty/Fashion,Shoes Sneakers Loafers,,,,,,,,,,,,,,
2,5,Investing in the Future of India,167,OrganicSmokes,Beauty/Fashion,Organic Cigarettes Cigarillos Smokes,,,,,,,,,,,,,,
2,6,Determined Entrepreneurs,168,TeaFit,Food,Refreshing beverages ,50,8,,,12.5,2,12.5,2,12.5,2,12.5,2,,
2,6,Determined Entrepreneurs,169,Haqdarshak,Services,Platform to know about welfare schemes for MSMEs,100,2,33.33,0.666,,,,,33.33,0.666,33.33,0.666,,
2,6,Determined Entrepreneurs,170,Bhaskar'sPuranpoliGhar,Food,Varieties of Puranpoli snacks,,,,,,,,,,,,,,
2,7,Shaandar Businesses,171,GunjanAppsStudios,Technology,CHILDREN'S PLAYFUL LEARNING PARTNER,,,,,,,,,,,,,,
2,7,Shaandar Businesses,172,TheSimplySalad,Food,Freshly chopped salads,30,10,,,,,15,5,15,5,,,,
2,7,Shaandar Businesses,173,AyuSynk,Medical,Digital Stethoscopes,50,3.5,50,3.5,,,,,,,,,,
2,8,Investment with Intent,174,AtypicalAdvantage,Technology,Platform for persons with disabilities,30,3,15,1.5,,,,,15,1.5,,,,
2,8,Investment with Intent,175,HouseOfChikankari,Beauty/Fashion,HANDMADE BY ARTISANS OF LUCKNOW,75,3.75,,,,,,,37.5,1.875,37.5,1.875,,
2,8,Investment with Intent,176,MagicOfMemories,Beauty/Fashion,DNA Jewllery,,,,,,,,,,,,,,
2,9,Invest In Lifestyle,177,Paradyes,Beauty/Fashion,Semi Permanent Hair Color,65,2,,,,,32.5,1,32.5,1,,,,
2,9,Invest In Lifestyle,178,Nestroots,Furnishing/Household,"House of design, aesthetics and elegance",50,2,50,2,,,,,,,,,,
2,10,Zillionaire Banne Ki Chah,179,Zillionaire,Beauty/Fashion,Unique styles of stones and jewels,100,10,,,100,10,,,,,,,,
2,10,Zillionaire Banne Ki Chah,180,Credmate,Technology,Platform for credit score,,,,,,,,,,,,,,
2,10,Zillionaire Banne Ki Chah,181,Freebowler,Sports,Non-Electric & Portable Bowling Machines,25,7.5,25,7.5,,,,,,,,,,
2,11,Investing The Right Way,182,ABCSports&Fitness,Sports,Sports training institute,40,10,,,,,,,,,40,10,,
2,11,Investing The Right Way,183,Primebook,Technology,Android Apps on Windows laptops,75,3,,,,,,,37.5,1.5,37.5,1.5,,
2,11,Investing The Right Way,184,DailyDump,Manufacturing,Compost Bins,30,4,30,4,,,,,,,,,,
